original_image,mask_file,crop_file,x,y,width,height,yolo_confidence,coverage,classifier_confidence,predicted_condition,quality_score,latitude,longitude
1439981526972995.jpg,1439981526972995_2.png,crops/1439981526972995_2.png,1072,238,68,49,0.757451,0.0008665720621744,0.9992974996566772,good,1.0,27.671542957327,85.416814055213
1439981526972995.jpg,1439981526972995_3.png,crops/1439981526972995_3.png,1046,380,77,51,0.636823,0.0011218388875325,0.9996681213378906,good,1.0,27.671542957327,85.416814055213
1439981526972995.jpg,1439981526972995_4.png,crops/1439981526972995_4.png,1076,145,65,74,0.335168,0.001315434773763,0.9997703433036804,good,1.0,27.671542957327,85.416814055213
1440036353633241.jpg,1440036353633241_0.png,crops/1440036353633241_0.png,1011,1290,115,95,0.971038,0.0030962626139322,0.9950646758079528,good,1.0,27.679927712844,85.399080285111
1440036353633241.jpg,1440036353633241_1.png,crops/1440036353633241_1.png,1021,1103,111,101,0.967224,0.0032911300659179,0.9915575981140136,good,1.0,27.679927712844,85.399080285111
1440036353633241.jpg,1440036353633241_2.png,crops/1440036353633241_2.png,1015,939,114,87,0.962739,0.0028079350789388,0.99885094165802,good,1.0,27.679927712844,85.399080285111
1440036353633241.jpg,1440036353633241_3.png,crops/1440036353633241_3.png,1020,782,121,90,0.926435,0.0029099782307942,0.998905062675476,good,1.0,27.679927712844,85.399080285111
1440036353633241.jpg,1440036353633241_4.png,crops/1440036353633241_4.png,1024,1481,115,55,0.852428,0.0018596649169921,0.7616788148880005,damaged,0.5,27.679927712844,85.399080285111
1440036353633241.jpg,1440036353633241_5.png,crops/1440036353633241_5.png,1028,648,106,65,0.692191,0.0019820531209309,0.9937157034873962,good,1.0,27.679927712844,85.399080285111
1634271427234192.jpg,1634271427234192_0.png,crops/1634271427234192_0.png,1347,37,140,203,0.603942,0.0039440790812174,0.9926497340202332,good,1.0,27.678075388103,85.407210243913
1634271427234192.jpg,1634271427234192_1.png,crops/1634271427234192_1.png,1569,184,111,162,0.298211,0.0030253728230794,0.9984779953956604,good,1.0,27.678075388103,85.407210243913
1681678483231735.jpg,1681678483231735_0.png,crops/1681678483231735_0.png,1107,1159,111,210,0.986327,0.0065021514892578,0.9917022585868835,good,1.0,27.672911074894,85.41225337728
1681678483231735.jpg,1681678483231735_1.png,crops/1681678483231735_1.png,1125,905,101,173,0.967687,0.004977544148763,0.9969797730445862,good,1.0,27.672911074894,85.41225337728
